2024-09-29 03:34:05,019 - INFO - Using device: cuda (GPU: NVIDIA GeForce RTX 2080 SUPER, Memory: 7 GB)
{'loss': 0.6745, 'grad_norm': 0.9119762778282166, 'learning_rate': 0.0002805078416728902, 'epoch': 0.3254027525872186}
{'loss': 0.716, 'grad_norm': 3.1649091243743896, 'learning_rate': 0.00028018777339165686, 'epoch': 0.33073722394110744}
{'loss': 0.6798, 'grad_norm': 0.4423854649066925, 'learning_rate': 0.00027986770511042355, 'epoch': 0.33607169529499625}
{'loss': 0.706, 'grad_norm': 1.0998985767364502, 'learning_rate': 0.0002795476368291902, 'epoch': 0.3414061666488851}
{'loss': 0.6674, 'grad_norm': 1.6159099340438843, 'learning_rate': 0.00027922756854795687, 'epoch': 0.34674063800277394}
{'loss': 0.7077, 'grad_norm': 0.8020578026771545, 'learning_rate': 0.0002789075002667235, 'epoch': 0.35207510935666275}
{'loss': 0.6901, 'grad_norm': 1.3937429189682007, 'learning_rate': 0.00027858743198549025, 'epoch': 0.35740958071055157}
{'loss': 0.683, 'grad_norm': 0.6079931855201721, 'learning_rate': 0.0002782673637042569, 'epoch': 0.36274405206444044}
{'loss': 0.7092, 'grad_norm': 2.084498643875122, 'learning_rate': 0.00027794729542302357, 'epoch': 0.36807852341832925}
{'loss': 0.7074, 'grad_norm': 2.1115481853485107, 'learning_rate': 0.00027762722714179026, 'epoch': 0.37341299477221807}
{'loss': 0.681, 'grad_norm': 1.3467965126037598, 'learning_rate': 0.0002773071588605569, 'epoch': 0.3787474661261069}
{'loss': 0.6792, 'grad_norm': 2.5413379669189453, 'learning_rate': 0.0002769870905793236, 'epoch': 0.38408193747999575}
{'loss': 0.6494, 'grad_norm': 0.8343571424484253, 'learning_rate': 0.0002766670222980902, 'epoch': 0.38941640883388456}
{'loss': 0.6892, 'grad_norm': 5.233779430389404, 'learning_rate': 0.0002763469540168569, 'epoch': 0.3947508801877734}
{'loss': 0.675, 'grad_norm': 2.1495025157928467, 'learning_rate': 0.0002760268857356236, 'epoch': 0.40008535154166225}
{'loss': 0.7446, 'grad_norm': 0.7546582221984863, 'learning_rate': 0.0002757068174543902, 'epoch': 0.40541982289555106}
{'loss': 0.6984, 'grad_norm': 0.628255307674408, 'learning_rate': 0.0002753867491731569, 'epoch': 0.4107542942494399}
{'loss': 0.7403, 'grad_norm': 4.830848693847656, 'learning_rate': 0.0002750666808919236, 'epoch': 0.4160887656033287}
{'loss': 0.6909, 'grad_norm': 0.6689544916152954, 'learning_rate': 0.00027474661261069023, 'epoch': 0.42142323695721756}
{'loss': 0.6938, 'grad_norm': 0.9344257712364197, 'learning_rate': 0.0002744265443294569, 'epoch': 0.4267577083111064}
{'loss': 0.6877, 'grad_norm': 0.8463654518127441, 'learning_rate': 0.0002741064760482236, 'epoch': 0.4320921796649952}
{'loss': 0.7152, 'grad_norm': 0.5969772934913635, 'learning_rate': 0.0002737864077669903, 'epoch': 0.437426651018884}
{'loss': 0.7341, 'grad_norm': 3.4198575019836426, 'learning_rate': 0.00027346633948575693, 'epoch': 0.4427611223727729}
{'loss': 0.6729, 'grad_norm': 3.318934202194214, 'learning_rate': 0.0002731462712045236, 'epoch': 0.4480955937266617}
{'loss': 0.7203, 'grad_norm': 3.942878246307373, 'learning_rate': 0.0002728262029232903, 'epoch': 0.4534300650805505}
{'loss': 0.7023, 'grad_norm': 1.2742016315460205, 'learning_rate': 0.00027250613464205694, 'epoch': 0.4587645364344394}
{'loss': 0.6919, 'grad_norm': 0.3670845329761505, 'learning_rate': 0.00027218606636082363, 'epoch': 0.4640990077883282}
{'loss': 0.6852, 'grad_norm': 0.7587593197822571, 'learning_rate': 0.00027186599807959026, 'epoch': 0.469433479142217}
{'loss': 0.738, 'grad_norm': 1.117450475692749, 'learning_rate': 0.00027154592979835695, 'epoch': 0.4747679504961058}
{'loss': 0.6962, 'grad_norm': 2.532515525817871, 'learning_rate': 0.00027122586151712364, 'epoch': 0.4801024218499947}
{'loss': 0.7287, 'grad_norm': 3.1409990787506104, 'learning_rate': 0.00027090579323589027, 'epoch': 0.4854368932038835}
{'loss': 0.6825, 'grad_norm': 0.43970754742622375, 'learning_rate': 0.00027058572495465696, 'epoch': 0.4907713645577723}
{'loss': 0.7013, 'grad_norm': 1.0663832426071167, 'learning_rate': 0.00027026565667342365, 'epoch': 0.49610583591166113}
{'loss': 0.6851, 'grad_norm': 0.4433557093143463, 'learning_rate': 0.00026994558839219034, 'epoch': 0.50144030726555}
{'loss': 0.6833, 'grad_norm': 0.45135214924812317, 'learning_rate': 0.00026962552011095697, 'epoch': 0.5067747786194388}
{'loss': 0.6953, 'grad_norm': 0.5633336901664734, 'learning_rate': 0.00026930545182972366, 'epoch': 0.5121092499733276}
{'loss': 0.7162, 'grad_norm': 1.2824366092681885, 'learning_rate': 0.00026898538354849035, 'epoch': 0.5174437213272165}
{'loss': 0.7635, 'grad_norm': 0.6029778122901917, 'learning_rate': 0.000268665315267257, 'epoch': 0.5227781926811053}
{'loss': 0.7045, 'grad_norm': 0.9899341464042664, 'learning_rate': 0.00026834524698602367, 'epoch': 0.5281126640349941}
{'loss': 0.7254, 'grad_norm': 1.1373063325881958, 'learning_rate': 0.00026802517870479036, 'epoch': 0.533447135388883}
{'loss': 0.6416, 'grad_norm': 1.1648210287094116, 'learning_rate': 0.000267705110423557, 'epoch': 0.5387816067427718}
{'loss': 0.6825, 'grad_norm': 0.6566393971443176, 'learning_rate': 0.0002673850421423237, 'epoch': 0.5441160780966606}
{'loss': 0.7011, 'grad_norm': 1.4379098415374756, 'learning_rate': 0.0002670649738610903, 'epoch': 0.5494505494505495}
{'loss': 0.6615, 'grad_norm': 0.4468997120857239, 'learning_rate': 0.000266744905579857, 'epoch': 0.5547850208044383}
{'loss': 0.6892, 'grad_norm': 1.0577278137207031, 'learning_rate': 0.0002664248372986237, 'epoch': 0.5601194921583271}
{'loss': 0.7403, 'grad_norm': 0.9700294733047485, 'learning_rate': 0.0002661047690173903, 'epoch': 0.5654539635122159}
{'loss': 0.6754, 'grad_norm': 1.260866641998291, 'learning_rate': 0.000265784700736157, 'epoch': 0.5707884348661048}
{'loss': 0.7431, 'grad_norm': 1.3176380395889282, 'learning_rate': 0.0002654646324549237, 'epoch': 0.5761229062199936}
{'loss': 0.6442, 'grad_norm': 1.5737330913543701, 'learning_rate': 0.0002651445641736904, 'epoch': 0.5814573775738824}
{'loss': 0.6652, 'grad_norm': 0.5788393020629883, 'learning_rate': 0.000264824495892457, 'epoch': 0.5867918489277713}
{'loss': 0.6839, 'grad_norm': 0.3601266145706177, 'learning_rate': 0.0002645044276112237, 'epoch': 0.5921263202816601}
{'loss': 0.7229, 'grad_norm': 3.8175737857818604, 'learning_rate': 0.0002641843593299904, 'epoch': 0.5974607916355489}
{'loss': 0.7724, 'grad_norm': 2.0924785137176514, 'learning_rate': 0.00026386429104875703, 'epoch': 0.6027952629894378}
{'loss': 0.6601, 'grad_norm': 0.48421308398246765, 'learning_rate': 0.0002635442227675237, 'epoch': 0.6081297343433266}
{'loss': 0.7174, 'grad_norm': 0.6038914918899536, 'learning_rate': 0.0002632241544862904, 'epoch': 0.6134642056972154}
{'loss': 0.7003, 'grad_norm': 2.9549050331115723, 'learning_rate': 0.00026290408620505704, 'epoch': 0.6187986770511043}
{'loss': 0.6931, 'grad_norm': 1.4986565113067627, 'learning_rate': 0.0002625840179238237, 'epoch': 0.624133148404993}
{'loss': 0.7213, 'grad_norm': 0.9487833380699158, 'learning_rate': 0.0002622639496425904, 'epoch': 0.6294676197588819}
{'loss': 0.6764, 'grad_norm': 1.35373055934906, 'learning_rate': 0.00026194388136135705, 'epoch': 0.6348020911127707}
{'loss': 0.6747, 'grad_norm': 0.7915444374084473, 'learning_rate': 0.00026162381308012374, 'epoch': 0.6401365624666595}
{'loss': 0.7235, 'grad_norm': 0.44584062695503235, 'learning_rate': 0.00026130374479889037, 'epoch': 0.6454710338205484}
{'loss': 0.6819, 'grad_norm': 1.0387263298034668, 'learning_rate': 0.0002609836765176571, 'epoch': 0.6508055051744372}
{'loss': 0.7052, 'grad_norm': 0.8187153935432434, 'learning_rate': 0.00026066360823642375, 'epoch': 0.656139976528326}
{'loss': 0.6605, 'grad_norm': 0.41425153613090515, 'learning_rate': 0.00026034353995519043, 'epoch': 0.6614744478822149}
{'loss': 0.6456, 'grad_norm': 0.33169659972190857, 'learning_rate': 0.0002600234716739571, 'epoch': 0.6668089192361037}
{'loss': 0.6465, 'grad_norm': 1.6622368097305298, 'learning_rate': 0.00025970980475834845, 'epoch': 0.6721433905899925}
{'loss': 0.6933, 'grad_norm': 0.45214366912841797, 'learning_rate': 0.0002593897364771151, 'epoch': 0.6774778619438814}
{'loss': 0.7036, 'grad_norm': 0.41982150077819824, 'learning_rate': 0.0002590696681958818, 'epoch': 0.6828123332977702}
{'loss': 0.6847, 'grad_norm': 1.772885799407959, 'learning_rate': 0.00025874959991464846, 'epoch': 0.688146804651659}
{'loss': 0.6406, 'grad_norm': 2.2573044300079346, 'learning_rate': 0.0002584295316334151, 'epoch': 0.6934812760055479}
{'loss': 0.6453, 'grad_norm': 0.8684920072555542, 'learning_rate': 0.0002581094633521818, 'epoch': 0.6988157473594366}
{'loss': 0.6632, 'grad_norm': 0.8416269421577454, 'learning_rate': 0.00025778939507094847, 'epoch': 0.7041502187133255}
{'loss': 0.7215, 'grad_norm': 2.426211357116699, 'learning_rate': 0.0002574693267897151, 'epoch': 0.7094846900672144}
{'loss': 0.7147, 'grad_norm': 0.43083110451698303, 'learning_rate': 0.0002571492585084818, 'epoch': 0.7148191614211031}
{'loss': 0.6838, 'grad_norm': 1.6253490447998047, 'learning_rate': 0.0002568291902272484, 'epoch': 0.720153632774992}
{'loss': 0.6619, 'grad_norm': 3.4333410263061523, 'learning_rate': 0.0002565091219460151, 'epoch': 0.7254881041288809}
{'loss': 0.6352, 'grad_norm': 0.7450470328330994, 'learning_rate': 0.0002561890536647818, 'epoch': 0.7308225754827696}
{'loss': 0.705, 'grad_norm': 0.4331052899360657, 'learning_rate': 0.00025586898538354844, 'epoch': 0.7361570468366585}
{'loss': 0.7166, 'grad_norm': 1.3788572549819946, 'learning_rate': 0.0002555489171023152, 'epoch': 0.7414915181905474}
{'loss': 0.6977, 'grad_norm': 1.0637006759643555, 'learning_rate': 0.0002552288488210818, 'epoch': 0.7468259895444361}
{'loss': 0.7112, 'grad_norm': 1.497796654701233, 'learning_rate': 0.0002549087805398485, 'epoch': 0.752160460898325}
{'loss': 0.7019, 'grad_norm': 1.0311529636383057, 'learning_rate': 0.00025458871225861513, 'epoch': 0.7574949322522138}
{'loss': 0.702, 'grad_norm': 0.5475921034812927, 'learning_rate': 0.0002542686439773818, 'epoch': 0.7628294036061026}
{'loss': 0.6696, 'grad_norm': 2.043971300125122, 'learning_rate': 0.0002539485756961485, 'epoch': 0.7681638749599915}
{'loss': 0.6816, 'grad_norm': 1.3657864332199097, 'learning_rate': 0.00025362850741491514, 'epoch': 0.7734983463138803}
{'loss': 0.7031, 'grad_norm': 0.8015336394309998, 'learning_rate': 0.00025330843913368183, 'epoch': 0.7788328176677691}
{'loss': 0.6809, 'grad_norm': 1.094016194343567, 'learning_rate': 0.0002529883708524485, 'epoch': 0.784167289021658}
{'loss': 0.7059, 'grad_norm': 2.1282763481140137, 'learning_rate': 0.00025266830257121515, 'epoch': 0.7895017603755468}
{'loss': 0.6773, 'grad_norm': 1.9918439388275146, 'learning_rate': 0.00025234823428998184, 'epoch': 0.7948362317294356}
{'loss': 0.6686, 'grad_norm': 0.6977481245994568, 'learning_rate': 0.0002520281660087485, 'epoch': 0.8001707030833245}
{'loss': 0.6534, 'grad_norm': 1.119124174118042, 'learning_rate': 0.00025170809772751516, 'epoch': 0.8055051744372133}
{'loss': 0.6733, 'grad_norm': 1.1233196258544922, 'learning_rate': 0.00025138802944628185, 'epoch': 0.8108396457911021}
{'loss': 0.7003, 'grad_norm': 1.5002151727676392, 'learning_rate': 0.00025106796116504854, 'epoch': 0.8161741171449909}
{'loss': 0.6647, 'grad_norm': 0.6017599701881409, 'learning_rate': 0.00025074789288381523, 'epoch': 0.8215085884988798}
{'loss': 0.6471, 'grad_norm': 1.987180233001709, 'learning_rate': 0.00025042782460258186, 'epoch': 0.8268430598527686}
{'loss': 0.673, 'grad_norm': 1.6251193284988403, 'learning_rate': 0.00025010775632134855, 'epoch': 0.8321775312066574}
{'loss': 0.7236, 'grad_norm': 1.6080907583236694, 'learning_rate': 0.0002497876880401152, 'epoch': 0.8375120025605463}
{'loss': 0.7236, 'grad_norm': 0.7255710363388062, 'learning_rate': 0.00024946761975888187, 'epoch': 0.8428464739144351}
{'loss': 0.6539, 'grad_norm': 0.3158736824989319, 'learning_rate': 0.00024914755147764856, 'epoch': 0.8481809452683239}
{'loss': 0.6914, 'grad_norm': 0.8253843784332275, 'learning_rate': 0.0002488274831964152, 'epoch': 0.8535154166222128}
{'loss': 0.6811, 'grad_norm': 1.1963930130004883, 'learning_rate': 0.0002485074149151819, 'epoch': 0.8588498879761016}
{'loss': 0.7026, 'grad_norm': 0.7184627056121826, 'learning_rate': 0.00024818734663394857, 'epoch': 0.8641843593299904}
{'loss': 0.6702, 'grad_norm': 0.7754850387573242, 'learning_rate': 0.0002478672783527152, 'epoch': 0.8695188306838793}
{'loss': 0.6697, 'grad_norm': 0.4438454508781433, 'learning_rate': 0.0002475472100714819, 'epoch': 0.874853302037768}
{'loss': 0.665, 'grad_norm': 1.211563229560852, 'learning_rate': 0.0002472271417902485, 'epoch': 0.8801877733916569}
{'loss': 0.6597, 'grad_norm': 0.625254213809967, 'learning_rate': 0.0002469070735090152, 'epoch': 0.8855222447455458}
{'loss': 0.7162, 'grad_norm': 2.917083740234375, 'learning_rate': 0.0002465870052277819, 'epoch': 0.8908567160994345}
{'loss': 0.6795, 'grad_norm': 1.1092561483383179, 'learning_rate': 0.0002462669369465486, 'epoch': 0.8961911874533234}
{'loss': 0.6696, 'grad_norm': 0.5749501585960388, 'learning_rate': 0.0002459468686653153, 'epoch': 0.9015256588072122}
{'loss': 0.7062, 'grad_norm': 0.852378785610199, 'learning_rate': 0.0002456268003840819, 'epoch': 0.906860130161101}
{'loss': 0.6445, 'grad_norm': 3.8860034942626953, 'learning_rate': 0.0002453067321028486, 'epoch': 0.9121946015149899}
